,Seed,Region,SeedNum,Round of 64,Round of 32,Sweet 16,Elite 8,Final Four,Championship,Champion,Season,PlayinKey
295,Y08,Y,8,1.0,0.5848,0.1259,0.0438,0.0199,0.0046,0.0012,2022,
296,Y09,Y,9,1.0,0.4152,0.0682,0.0215,0.0085,0.0021,0.0003,2022,
297,Y10,Y,10,1.0,0.516,0.2035,0.1,0.0241,0.0064,0.0013,2022,
298,Y11,Y,11,1.0,0.3354,0.1775,0.0767,0.0181,0.0039,0.0008,2022,
299,Y12,Y,12,1.0,0.1189,0.0356,0.0044,0.0009,0.0001,0.0,2022,
300,Y13,Y,13,1.0,0.2213,0.0326,0.0046,0.0007,0.0001,0.0,2022,
301,Y14,Y,14,1.0,0.2319,0.0397,0.0072,0.0007,0.0,0.0,2022,
302,Y15,Y,15,1.0,0.0928,0.0241,0.0042,0.0004,0.0,0.0,2022,
303,Y16,Y,16,1.0,0.044,0.0075,0.0007,0.0001,0.0,0.0,2022,
304,Z01,Z,1,1.0,0.9398,0.5677,0.228,0.1012,0.0406,0.0164,2022,
305,Z02,Z,2,1.0,0.9103,0.6946,0.4509,0.2205,0.1225,0.0662,2022,
306,Z03,Z,3,1.0,0.895,0.6338,0.3106,0.1492,0.0823,0.0427,2022,
307,Z04,Z,4,1.0,0.6158,0.1444,0.0634,0.0204,0.0068,0.0019,2022,
308,Z05,Z,5,1.0,0.9013,0.7332,0.5453,0.3831,0.2528,0.1614,2022,
309,Z06,Z,6,1.0,0.2976,0.0685,0.0173,0.0022,0.0005,0.0,2022,
310,Z07,Z,7,1.0,0.6378,0.2033,0.0746,0.0212,0.0074,0.0022,2022,
311,Z08,Z,8,1.0,0.3344,0.1174,0.0292,0.0062,0.0024,0.0006,2022,
312,Z09,Z,9,1.0,0.6656,0.3082,0.0971,0.0388,0.016,0.0062,2022,
313,Z10,Z,10,1.0,0.3622,0.0819,0.0209,0.0047,0.0015,0.0,2022,
314,Z11,Z,11,1.0,0.7024,0.2791,0.121,0.0425,0.0165,0.0057,2022,
315,Z12,Z,12,1.0,0.0987,0.0367,0.0112,0.0024,0.0003,0.0,2022,
316,Z13,Z,13,1.0,0.3842,0.0857,0.0256,0.0072,0.0022,0.0004,2022,
317,Z14,Z,14,1.0,0.105,0.0186,0.0026,0.0004,0.0,0.0,2022,
318,Z15,Z,15,1.0,0.0897,0.0202,0.0021,0.0,0.0,0.0,2022,
319,Z16,Z,16,1.0,0.0602,0.0067,0.0002,0.0,0.0,0.0,2022,
320,W01,W,1,1.0,0.9501,0.466,0.2192,0.1274,0.053,0.021,2023,
321,W02,W,2,1.0,0.8135,0.4101,0.2716,0.1261,0.0579,0.0228,2023,
322,W03,W,3,1.0,0.8586,0.5029,0.2388,0.1003,0.0332,0.0113,2023,
323,W04,W,4,1.0,0.8831,0.6464,0.3855,0.2742,0.1488,0.0749,2023,
324,W05,W,5,1.0,0.711,0.2762,0.1373,0.0691,0.0288,0.0117,2023,
325,W06,W,6,1.0,0.5868,0.3003,0.1212,0.0427,0.0137,0.0044,2023,
326,W07,W,7,1.0,0.3621,0.2047,0.1125,0.04,0.0152,0.0048,2023,
327,W08,W,8,1.0,0.6497,0.3911,0.1963,0.1168,0.0493,0.0216,2023,
328,W09,W,9,1.0,0.3503,0.1401,0.0452,0.0175,0.0048,0.0009,2023,
329,W10,W,10,1.0,0.6379,0.3323,0.171,0.0617,0.0198,0.007,2023,
330,W11,W,11,1.0,0.4132,0.1679,0.0671,0.0172,0.0041,0.0007,2023,
331,W12,W,12,1.0,0.289,0.0503,0.011,0.0038,0.001,0.0003,2023,
332,W13,W,13,1.0,0.1169,0.0271,0.0053,0.001,0.0001,0.0001,2023,
333,W14,W,14,1.0,0.1414,0.0289,0.0049,0.0007,0.0,0.0,2023,
334,W15,W,15,1.0,0.1865,0.0529,0.0129,0.0015,0.0002,0.0,2023,
335,W16,W,16,1.0,0.0499,0.0028,0.0002,0.0,0.0,0.0,2023,
336,X01,X,1,1.0,0.9643,0.7772,0.6295,0.4633,0.3276,0.1964,2023,
337,X02,X,2,1.0,0.8447,0.5865,0.3224,0.1315,0.0649,0.0232,2023,
338,X03,X,3,1.0,0.8894,0.5312,0.3095,0.1297,0.0712,0.03,2023,
339,X04,X,4,1.0,0.6658,0.2387,0.0521,0.0197,0.0066,0.0017,2023,
340,X05,X,5,1.0,0.6641,0.492,0.1709,0.0905,0.0471,0.0173,2023,
341,X06,X,6,1.0,0.3778,0.1943,0.0981,0.0338,0.0095,0.0026,2023,
342,X07,X,7,1.0,0.5944,0.234,0.095,0.0268,0.0087,0.0023,2023,
343,X08,X,8,1.0,0.4505,0.0935,0.0437,0.0197,0.0067,0.0015,2023,
344,X09,X,9,1.0,0.5495,0.1238,0.0606,0.0282,0.0092,0.003,2023,
345,X10,X,10,1.0,0.4056,0.1345,0.0479,0.0103,0.0028,0.0009,2023,
346,X11,X,11,1.0,0.6222,0.2402,0.1106,0.0314,0.0121,0.0031,2023,
347,X12,X,12,1.0,0.3359,0.1859,0.032,0.0095,0.0026,0.0009,2023,
348,X13,X,13,1.0,0.3342,0.0834,0.0104,0.0032,0.0008,0.0,2023,
349,X14,X,14,1.0,0.1106,0.0343,0.0069,0.0012,0.0002,0.0001,2023,
350,X15,X,15,1.0,0.1553,0.045,0.0096,0.0012,0.0001,0.0,2023,
351,X16,X,16,1.0,0.0357,0.0055,0.0008,0.0,0.0,0.0,2023,
352,Y01,Y,1,1.0,0.9335,0.6343,0.4989,0.3474,0.2,0.1228,2023,
353,Y02,Y,2,1.0,0.9404,0.7082,0.4977,0.2687,0.1272,0.0674,2023,
354,Y03,Y,3,1.0,0.8289,0.5251,0.2154,0.0797,0.0281,0.0085,2023,
355,Y04,Y,4,1.0,0.5862,0.2847,0.0934,0.0303,0.0083,0.0022,2023,
356,Y05,Y,5,1.0,0.7246,0.4524,0.1394,0.0597,0.0181,0.0052,2023,
357,Y06,Y,6,1.0,0.5367,0.2399,0.0705,0.0222,0.0057,0.0013,2023,
358,Y07,Y,7,1.0,0.629,0.2055,0.123,0.0379,0.0118,0.0038,2023,
359,Y08,Y,8,1.0,0.2965,0.0671,0.0275,0.0073,0.0012,0.0003,2023,
360,Y09,Y,9,1.0,0.7035,0.2879,0.1921,0.1088,0.0461,0.0177,2023,
361,Y10,Y,10,1.0,0.371,0.0771,0.031,0.0114,0.0032,0.0011,2023,
362,Y11,Y,11,1.0,0.4633,0.189,0.0542,0.0119,0.0015,0.0002,2023,
363,Y12,Y,12,1.0,0.2754,0.0907,0.0145,0.0032,0.0004,0.0,2023,
364,Y13,Y,13,1.0,0.4138,0.1722,0.0322,0.0101,0.0019,0.0002,2023,
365,Y14,Y,14,1.0,0.1711,0.046,0.0067,0.001,0.0,0.0,2023,
366,Y15,Y,15,1.0,0.0596,0.0092,0.0015,0.0002,0.0,0.0,2023,
367,Y16,Y,16,1.0,0.0665,0.0107,0.002,0.0002,0.0,0.0,2023,
368,Z01,Z,1,1.0,0.923,0.6175,0.2766,0.1191,0.0551,0.0249,2023,
369,Z02,Z,2,1.0,0.9304,0.7954,0.5947,0.3676,0.227,0.136,2023,
370,Z03,Z,3,1.0,0.8039,0.4518,0.1584,0.0653,0.0237,0.0099,2023,
371,Z04,Z,4,1.0,0.8467,0.6887,0.4758,0.2916,0.1871,0.116,2023,
372,Z05,Z,5,1.0,0.639,0.1727,0.0742,0.0219,0.0064,0.002,2023,
373,Z06,Z,6,1.0,0.6769,0.3792,0.1387,0.0526,0.0216,0.008,2023,
374,Z07,Z,7,1.0,0.6247,0.1202,0.0477,0.0141,0.0042,0.0011,2023,
375,Z08,Z,8,1.0,0.5965,0.2626,0.0964,0.0359,0.0138,0.0051,2023,
376,Z09,Z,9,1.0,0.4035,0.1094,0.0307,0.0073,0.002,0.0005,2023,
377,Z10,Z,10,1.0,0.3753,0.0709,0.0247,0.0057,0.0012,0.0002,2023,
378,Z11,Z,11,1.0,0.3231,0.1175,0.0266,0.0063,0.0012,0.0003,2023,
379,Z12,Z,12,1.0,0.361,0.0628,0.0185,0.0043,0.0011,0.0001,2023,
380,Z13,Z,13,1.0,0.1533,0.0758,0.0266,0.007,0.0021,0.0007,2023,
381,Z14,Z,14,1.0,0.1961,0.0515,0.0076,0.0012,0.0,0.0,2023,
382,Z15,Z,15,1.0,0.0696,0.0135,0.0016,0.0001,0.0,0.0,2023,
383,Z16,Z,16,1.0,0.077,0.0105,0.0012,0.0,0.0,0.0,2023,
384,W01,W,1,1.0,0.9544,0.7991,0.5304,0.3915,0.2741,0.171,2024,
385,W02,W,2,1.0,0.8895,0.6331,0.3664,0.1423,0.0758,0.0331,2024,
386,W03,W,3,1.0,0.8036,0.4378,0.2322,0.0733,0.0306,0.0118,2024,
387,W04,W,4,1.0,0.8312,0.6612,0.3228,0.2138,0.1282,0.0693,2024,
388,W05,W,5,1.0,0.8298,0.2562,0.0695,0.0279,0.0091,0.0025,2024,
389,W06,W,6,1.0,0.7746,0.4391,0.2304,0.0818,0.036,0.0134,2024,
390,W07,W,7,1.0,0.6007,0.2129,0.0907,0.0254,0.0088,0.0025,2024,
391,W08,W,8,1.0,0.4294,0.0618,0.016,0.0063,0.0016,0.0006,2024,
392,W09,W,9,1.0,0.5706,0.1309,0.0459,0.0189,0.0073,0.0024,2024,
393,W10,W,10,1.0,0.3993,0.1295,0.045,0.0101,0.0024,0.0005,2024,
394,W11,W,11,1.0,0.2254,0.0799,0.0231,0.0039,0.0004,0.0002,2024,
395,W12,W,12,1.0,0.1702,0.0236,0.0021,0.0002,0.0001,0.0,2024,
396,W13,W,13,1.0,0.1688,0.059,0.0123,0.0034,0.0006,0.0001,2024,
397,W14,W,14,1.0,0.1964,0.0432,0.0066,0.0008,0.0001,0.0,2024,
398,W15,W,15,1.0,0.1105,0.0245,0.0056,0.0004,0.0,0.0,2024,
399,W16,W,16,1.0,0.0456,0.0082,0.001,0.0,0.0,0.0,2024,
400,X01,X,1,1.0,0.9016,0.5454,0.2837,0.1416,0.0584,0.0231,2024,
401,X02,X,2,1.0,0.9553,0.7536,0.5006,0.2888,0.144,0.0673,2024,
402,X03,X,3,1.0,0.8129,0.4618,0.2064,0.103,0.0404,0.0164,2024,
403,X04,X,4,1.0,0.8047,0.5237,0.2945,0.1626,0.077,0.0344,2024,
404,X05,X,5,1.0,0.705,0.3617,0.1938,0.0903,0.0342,0.0106,2024,
405,X06,X,6,1.0,0.3771,0.1808,0.0666,0.0228,0.0072,0.0017,2024,
406,X07,X,7,1.0,0.6408,0.1643,0.0696,0.0266,0.0069,0.0015,2024,
407,X08,X,8,1.0,0.5276,0.2497,0.1058,0.0446,0.0146,0.0049,2024,
408,X09,X,9,1.0,0.4724,0.1906,0.0902,0.0452,0.0171,0.006,2024,
409,X10,X,10,1.0,0.3592,0.0733,0.0259,0.008,0.0013,0.0002,2024,
410,X11,X,11,1.0,0.6229,0.3154,0.122,0.0587,0.0227,0.008,2024,
411,X12,X,12,1.0,0.295,0.0432,0.0114,0.0019,0.0001,0.0,2024,
412,X13,X,13,1.0,0.1953,0.0714,0.0193,0.0045,0.0009,0.0001,2024,
413,X14,X,14,1.0,0.1871,0.042,0.0074,0.001,0.0001,0.0,2024,
414,X15,X,15,1.0,0.0447,0.0088,0.0015,0.0002,0.0,0.0,2024,
415,X16,X,16,1.0,0.0984,0.0143,0.0013,0.0002,0.0,0.0,2024,
416,Y01,Y,1,1.0,0.9455,0.7748,0.5307,0.3684,0.1632,0.0836,2024,
417,Y02,Y,2,1.0,0.8965,0.5481,0.3505,0.1637,0.064,0.0278,2024,
418,Y03,Y,3,1.0,0.903,0.5299,0.2483,0.1002,0.0305,0.0142,2024,
419,Y04,Y,4,1.0,0.7381,0.4215,0.1394,0.0605,0.0192,0.0059,2024,
420,Y05,Y,5,1.0,0.8514,0.4755,0.2082,0.1099,0.0391,0.0158,2024,
421,Y06,Y,6,1.0,0.5843,0.2656,0.0925,0.0311,0.0063,0.0012,2024,
422,Y07,Y,7,1.0,0.7356,0.3565,0.2232,0.0948,0.0348,0.014,2024,
423,Y08,Y,8,1.0,0.3601,0.0659,0.0228,0.0079,0.0014,0.0003,2024,
424,Y09,Y,9,1.0,0.6399,0.1527,0.0737,0.034,0.01,0.0027,2024,
425,Y10,Y,10,1.0,0.2644,0.0805,0.0235,0.0053,0.001,0.0001,2024,
426,Y11,Y,11,1.0,0.4157,0.1757,0.0553,0.0163,0.0032,0.0007,2024,
427,Y12,Y,12,1.0,0.1486,0.0575,0.0167,0.0051,0.001,0.0002,2024,
428,Y13,Y,13,1.0,0.2619,0.0455,0.0081,0.0016,0.0,0.0,2024,
429,Y14,Y,14,1.0,0.097,0.0288,0.0055,0.0012,0.0,0.0,2024,
430,Y15,Y,15,1.0,0.1035,0.0149,0.0012,0.0,0.0,0.0,2024,
431,Y16,Y,16,1.0,0.0545,0.0066,0.0004,0.0,0.0,0.0,2024,
432,Z01,Z,1,1.0,0.9789,0.8357,0.6274,0.4717,0.3626,0.2356,2024,
433,Z02,Z,2,1.0,0.8412,0.5844,0.3614,0.1498,0.0808,0.0395,2024,
434,Z03,Z,3,1.0,0.8603,0.5178,0.2491,0.0946,0.0493,0.023,2024,
435,Z04,Z,4,1.0,0.834,0.5719,0.2193,0.1146,0.0647,0.0308,2024,
436,Z05,Z,5,1.0,0.5604,0.2648,0.0632,0.0297,0.0127,0.0053,2024,
437,Z06,Z,6,1.0,0.6997,0.3486,0.1696,0.0468,0.021,0.0077,2024,
438,Z07,Z,7,1.0,0.5156,0.2078,0.0942,0.0277,0.0107,0.0033,2024,
439,Z08,Z,8,1.0,0.57,0.1047,0.0485,0.0229,0.0099,0.0034,2024,
440,Z09,Z,9,1.0,0.43,0.055,0.0211,0.0075,0.0028,0.001,2024,
441,Z10,Z,10,1.0,0.4844,0.1782,0.0816,0.0227,0.0089,0.002,2024,
442,Z11,Z,11,1.0,0.3003,0.1048,0.0339,0.005,0.0008,0.0001,2024,
443,Z12,Z,12,1.0,0.4396,0.1255,0.016,0.0054,0.0018,0.0002,2024,
444,Z13,Z,13,1.0,0.166,0.0378,0.0038,0.0008,0.0003,0.0,2024,
445,Z14,Z,14,1.0,0.1397,0.0288,0.0041,0.0001,0.0,0.0,2024,
446,Z15,Z,15,1.0,0.1588,0.0296,0.0061,0.0007,0.0,0.0,2024,
447,Z16,Z,16,1.0,0.0211,0.0046,0.0007,0.0,0.0,0.0,2024,
448,W01,W,1,1.0,0.9786,0.8068,0.6493,0.4829,0.3045,0.2057,2025,
449,W02,W,2,1.0,0.9637,0.665,0.3896,0.1612,0.0701,0.0331,2025,
450,W03,W,3,1.0,0.9081,0.5379,0.2925,0.1171,0.0431,0.0209,2025,
451,W04,W,4,1.0,0.8306,0.5407,0.1548,0.0774,0.0265,0.0097,2025,
452,W05,W,5,1.0,0.6143,0.271,0.0692,0.0266,0.0082,0.0019,2025,
453,W06,W,6,1.0,0.6409,0.2704,0.1362,0.0412,0.0111,0.004,2025,
454,W07,W,7,1.0,0.5864,0.2109,0.0912,0.0261,0.0073,0.0027,2025,
455,W08,W,8,1.0,0.5695,0.1169,0.0571,0.0233,0.0063,0.0019,2025,
456,W09,W,9,1.0,0.4305,0.0736,0.0411,0.0167,0.0039,0.0011,2025,
457,W10,W,10,1.0,0.4136,0.1165,0.0347,0.0089,0.0018,0.0004,2025,
458,W11,W,11,1.0,0.3591,0.1772,0.0538,0.0113,0.0019,0.0007,2025,
459,W12,W,12,1.0,0.3857,0.1271,0.0189,0.0055,0.0006,0.0002,2025,
460,W13,W,13,1.0,0.1694,0.0612,0.0093,0.0017,0.0004,0.0002,2025,
461,W14,W,14,1.0,0.0919,0.0145,0.0012,0.0,0.0,0.0,2025,
462,W15,W,15,1.0,0.0363,0.0076,0.0008,0.0001,0.0,0.0,2025,
463,W16,W,16,1.0,0.0214,0.0027,0.0003,0.0,0.0,0.0,2025,
464,X01,X,1,1.0,0.9819,0.7316,0.541,0.3862,0.2491,0.163,2025,
465,X02,X,2,1.0,0.9453,0.6487,0.4508,0.1885,0.0849,0.0388,2025,
466,X03,X,3,1.0,0.8834,0.5399,0.205,0.0813,0.0354,0.0147,2025,
467,X04,X,4,1.0,0.7835,0.5063,0.1959,0.1102,0.0536,0.0261,2025,
468,X05,X,5,1.0,0.8247,0.3982,0.1066,0.0469,0.0181,0.0068,2025,
469,X06,X,6,1.0,0.5138,0.1975,0.069,0.0234,0.0102,0.0033,2025,
470,X07,X,7,1.0,0.7484,0.2939,0.1752,0.0593,0.0226,0.0082,2025,
471,X08,X,8,1.0,0.661,0.2037,0.1196,0.0688,0.0295,0.013,2025,
472,X09,X,9,1.0,0.339,0.0639,0.028,0.01,0.0029,0.001,2025,
473,X10,X,10,1.0,0.2516,0.0507,0.0186,0.0026,0.0006,0.0002,2025,
474,X11,X,11,1.0,0.4862,0.2387,0.0774,0.0199,0.0071,0.002,2025,
475,X12,X,12,1.0,0.1753,0.0478,0.0036,0.0012,0.0002,0.0,2025,
476,X13,X,13,1.0,0.2165,0.0477,0.0052,0.0013,0.0001,0.0001,2025,
477,X14,X,14,1.0,0.1166,0.0239,0.0027,0.0001,0.0,0.0,2025,
478,X15,X,15,1.0,0.0547,0.0067,0.0013,0.0003,0.0,0.0,2025,
479,X16,X,16,1.0,0.0181,0.0008,0.0001,0.0,0.0,0.0,2025,
480,Y01,Y,1,1.0,0.9517,0.731,0.5841,0.4183,0.2652,0.1438,2025,
481,Y02,Y,2,1.0,0.8728,0.5658,0.318,0.1486,0.0678,0.026,2025,
482,Y03,Y,3,1.0,0.8296,0.4008,0.1951,0.0795,0.03,0.0078,2025,
483,Y04,Y,4,1.0,0.8252,0.4935,0.1536,0.0695,0.0241,0.0049,2025,
484,Y05,Y,5,1.0,0.7033,0.3727,0.1244,0.0506,0.0175,0.0044,2025,
485,Y06,Y,6,1.0,0.3782,0.2033,0.096,0.036,0.0124,0.0034,2025,
486,Y07,Y,7,1.0,0.7038,0.3286,0.1648,0.0674,0.0287,0.0106,2025,
487,Y08,Y,8,1.0,0.6802,0.1602,0.0776,0.0305,0.0098,0.0024,2025,
488,Y09,Y,9,1.0,0.3198,0.1045,0.0382,0.0093,0.0013,0.0001,2025,
489,Y10,Y,10,1.0,0.2962,0.0814,0.0254,0.0057,0.0013,0.0001,2025,
490,Y11,Y,11,1.0,0.6218,0.3676,0.1926,0.0776,0.0273,0.0088,2025,
491,Y12,Y,12,1.0,0.2967,0.0967,0.0173,0.005,0.0008,0.0,2025,
492,Y13,Y,13,1.0,0.1748,0.0371,0.0043,0.0007,0.0001,0.0,2025,
493,Y14,Y,14,1.0,0.1704,0.0283,0.0047,0.0006,0.0001,0.0,2025,
494,Y15,Y,15,1.0,0.1272,0.0242,0.0034,0.0007,0.0002,0.0001,2025,
495,Y16,Y,16,1.0,0.0483,0.0043,0.0005,0.0,0.0,0.0,2025,
496,Z01,Z,1,1.0,0.9769,0.7228,0.5251,0.3326,0.1941,0.0965,2025,
497,Z02,Z,2,1.0,0.8764,0.5325,0.2042,0.082,0.0354,0.0111,2025,
498,Z03,Z,3,1.0,0.9375,0.5891,0.4099,0.2319,0.1318,0.0645,2025,
499,Z04,Z,4,1.0,0.7855,0.6205,0.265,0.1375,0.0679,0.0269,2025,
500,Z05,Z,5,1.0,0.3531,0.0731,0.0108,0.0029,0.0008,0.0001,2025,
501,Z06,Z,6,1.0,0.6364,0.3147,0.2002,0.0788,0.0354,0.0148,2025,
502,Z07,Z,7,1.0,0.8356,0.3845,0.1365,0.0616,0.0242,0.0087,2025,
503,Z08,Z,8,1.0,0.5201,0.1562,0.0793,0.0281,0.0102,0.003,2025,
504,Z09,Z,9,1.0,0.4799,0.1182,0.0566,0.0183,0.0068,0.0017,2025,
505,Z10,Z,10,1.0,0.1644,0.0618,0.02,0.005,0.0011,0.0002,2025,
506,Z11,Z,11,1.0,0.3636,0.0922,0.0275,0.0064,0.0016,0.0002,2025,
507,Z12,Z,12,1.0,0.6469,0.2294,0.0537,0.013,0.0036,0.0002,2025,
508,Z13,Z,13,1.0,0.2145,0.077,0.0092,0.0019,0.0005,0.0,2025,
509,Z14,Z,14,1.0,0.0625,0.004,0.0005,0.0,0.0,0.0,2025,
510,Z15,Z,15,1.0,0.1236,0.0212,0.0012,0.0,0.0,0.0,2025,
511,Z16,Z,16,1.0,0.0231,0.0028,0.0003,0.0,0.0,0.0,2025,
512,W01,W,1,1.0,0.9709,0.7392,0.5734,0.3894,0.2526,0.1578,2026,"[""Miami OH"", ""NC State""]"
513,W02,W,2,1.0,0.9484,0.5495,0.3653,0.1874,0.0871,0.0405,2026,"[""Miami OH"", ""NC State""]"
514,W03,W,3,1.0,0.8717,0.5107,0.1927,0.0636,0.0191,0.0074,2026,"[""Miami OH"", ""NC State""]"
515,W04,W,4,1.0,0.797,0.4756,0.1499,0.0664,0.0287,0.0098,2026,"[""Miami OH"", ""NC State""]"
516,W05,W,5,1.0,0.7341,0.3661,0.1047,0.0463,0.0161,0.005,2026,"[""Miami OH"", ""NC State""]"
517,W06,W,6,1.0,0.7783,0.4055,0.156,0.0505,0.0191,0.0068,2026,"[""Miami OH"", ""NC State""]"
518,W07,W,7,1.0,0.7823,0.3936,0.2545,0.1137,0.0513,0.0252,2026,"[""Miami OH"", ""NC State""]"
519,W08,W,8,1.0,0.6825,0.2166,0.1319,0.0681,0.0314,0.0117,2026,"[""Miami OH"", ""NC State""]"
520,W09,W,9,1.0,0.3175,0.04,0.0126,0.0033,0.0004,0.0,2026,"[""Miami OH"", ""NC State""]"
521,W10,W,10,1.0,0.2177,0.0502,0.0177,0.0033,0.0008,0.0001,2026,"[""Miami OH"", ""NC State""]"
522,W11,W,11,1.0,0.2217,0.0573,0.0109,0.0015,0.0001,0.0,2026,"[""Miami OH"", ""NC State""]"
523,W12,W,12,1.0,0.2659,0.0973,0.0157,0.0039,0.0007,0.0002,2026,"[""Miami OH"", ""NC State""]"
524,W13,W,13,1.0,0.203,0.061,0.0111,0.0025,0.0005,0.0001,2026,"[""Miami OH"", ""NC State""]"
525,W14,W,14,1.0,0.1283,0.0265,0.0021,0.0,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
526,W15,W,15,1.0,0.0516,0.0067,0.0008,0.0001,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
527,W16,W,16,1.0,0.0291,0.0042,0.0007,0.0,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
528,X01,X,1,1.0,0.9581,0.6796,0.4213,0.1878,0.0801,0.0356,2026,"[""Miami OH"", ""NC State""]"
529,X02,X,2,1.0,0.9565,0.7591,0.4179,0.2653,0.154,0.0845,2026,"[""Miami OH"", ""NC State""]"
530,X03,X,3,1.0,0.9317,0.7526,0.4463,0.2775,0.1591,0.0856,2026,"[""Miami OH"", ""NC State""]"
531,X04,X,4,1.0,0.8797,0.4462,0.2307,0.0972,0.0398,0.0141,2026,"[""Miami OH"", ""NC State""]"
532,X05,X,5,1.0,0.708,0.443,0.2284,0.093,0.0379,0.0141,2026,"[""Miami OH"", ""NC State""]"
533,X06,X,6,1.0,0.727,0.1931,0.0551,0.0195,0.0056,0.0011,2026,"[""Miami OH"", ""NC State""]"
534,X07,X,7,1.0,0.5228,0.1059,0.0293,0.0102,0.003,0.0004,2026,"[""Miami OH"", ""NC State""]"
535,X08,X,8,1.0,0.3771,0.1121,0.0345,0.0077,0.0014,0.0002,2026,"[""Miami OH"", ""NC State""]"
536,X09,X,9,1.0,0.6229,0.2016,0.0639,0.0204,0.0059,0.0016,2026,"[""Miami OH"", ""NC State""]"
537,X10,X,10,1.0,0.4772,0.1284,0.0427,0.0161,0.0044,0.0013,2026,"[""Miami OH"", ""NC State""]"
538,X11,X,11,1.0,0.273,0.0372,0.0061,0.0014,0.0002,0.0001,2026,"[""Miami OH"", ""NC State""]"
539,X12,X,12,1.0,0.292,0.0888,0.019,0.0034,0.0007,0.0003,2026,"[""Miami OH"", ""NC State""]"
540,X13,X,13,1.0,0.1203,0.022,0.002,0.0,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
541,X14,X,14,1.0,0.0683,0.0171,0.0021,0.0004,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
542,X15,X,15,1.0,0.0435,0.0066,0.0005,0.0001,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
543,X16,X,16,1.0,0.0419,0.0067,0.0002,0.0,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
544,Y01,Y,1,1.0,0.9124,0.7112,0.4593,0.3195,0.177,0.0985,2026,"[""Miami OH"", ""NC State""]"
545,Y02,Y,2,1.0,0.9485,0.5609,0.3276,0.1538,0.0718,0.0317,2026,"[""Miami OH"", ""NC State""]"
546,Y03,Y,3,1.0,0.9364,0.4568,0.2243,0.0872,0.0337,0.011,2026,"[""Miami OH"", ""NC State""]"
547,Y04,Y,4,1.0,0.8578,0.3949,0.1813,0.0966,0.0457,0.018,2026,"[""Miami OH"", ""NC State""]"
548,Y05,Y,5,1.0,0.8642,0.5471,0.254,0.1516,0.0784,0.0364,2026,"[""Miami OH"", ""NC State""]"
549,Y06,Y,6,1.0,0.8173,0.4975,0.2463,0.0902,0.0342,0.0129,2026,"[""Miami OH"", ""NC State""]"
550,Y07,Y,7,1.0,0.4591,0.209,0.0925,0.032,0.0123,0.0047,2026,"[""Miami OH"", ""NC State""]"
551,Y08,Y,8,1.0,0.6837,0.2237,0.0805,0.0329,0.0108,0.0032,2026,"[""Miami OH"", ""NC State""]"
552,Y09,Y,9,1.0,0.3163,0.0521,0.0138,0.0046,0.001,0.0003,2026,"[""Miami OH"", ""NC State""]"
553,Y10,Y,10,1.0,0.5409,0.2254,0.1024,0.029,0.0118,0.0043,2026,"[""Miami OH"", ""NC State""]"
554,Y11,Y,11,1.0,0.1827,0.0391,0.0061,0.0002,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
555,Y12,Y,12,1.0,0.1358,0.0345,0.006,0.0015,0.0003,0.0,2026,"[""Miami OH"", ""NC State""]"
556,Y13,Y,13,1.0,0.1422,0.0235,0.0045,0.0008,0.0001,0.0,2026,"[""Miami OH"", ""NC State""]"
557,Y14,Y,14,1.0,0.0636,0.0066,0.0006,0.0001,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
558,Y15,Y,15,1.0,0.0515,0.0047,0.0002,0.0,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
559,Y16,Y,16,1.0,0.0876,0.013,0.0006,0.0,0.0,0.0,2026,"[""Miami OH"", ""NC State""]"
560,Z01,Z,1,1.0,0.9668,0.7901,0.5193,0.3374,0.2093,0.1282,2026,"[""Miami OH"", ""NC State""]"
561,Z02,Z,2,1.0,0.9331,0.7647,0.5687,0.3026,0.1647,0.0902,2026,"[""Miami OH"", ""NC State""]"
562,Z03,Z,3,1.0,0.9288,0.5597,0.224,0.0782,0.0325,0.0105,2026,"[""Miami OH"", ""NC State""]"
563,Z04,Z,4,1.0,0.9255,0.5466,0.2379,0.1197,0.0614,0.0263,2026,"[""Miami OH"", ""NC State""]"
564,Z05,Z,5,1.0,0.7949,0.4117,0.1606,0.0835,0.0342,0.0145,2026,"[""Miami OH"", ""NC State""]"
565,Z06,Z,6,1.0,0.4317,0.1833,0.0522,0.0131,0.0033,0.0011,2026,"[""Miami OH"", ""NC State""]"
566,Z07,Z,7,1.0,0.5444,0.127,0.0472,0.0098,0.0025,0.0008,2026,"[""Miami OH"", ""NC State""]"
567,Z08,Z,8,1.0,0.5114,0.1239,0.0489,0.0201,0.0065,0.0018,2026,"[""Miami OH"", ""NC State""]"
568,Z09,Z,9,1.0,0.4886,0.0795,0.0274,0.0073,0.002,0.0007,2026,"[""Miami OH"", ""NC State""]"
